教,jiāo,teach
懿,yì,virtuous
猴子,hóuzi,monkey
小龙,xiǎolóng,snake (zodiac)
蛇,shé,snake
饮料,yǐnliào,beverage
艮,gèn,Gen trigram
混血,hùnxuè,mixed blood
喝,hē,drink
啤酒,píjiǔ,beer
很好,hěn hǎo,very good
冒,mào,emit; give off
工程师,gōngchéngshī,engineer
软件,ruǎnjiàn,software
忙,máng,busy
笨蛋,bèndàn,idiot
抹茶,mǒchá,matcha
欺负,qīfu,bully
定,dìng,decide; fix
捏,niē,pinch
长城,Chángchéng,Great Wall
花生,huāshēng,peanut
毛豆,máodòu,edamame
回,huí,return; turn back
还是,háishi,still; yet
官二代,guān’èrdài,children of officials
高丽菜,gāolícài,cabbage
发呆,fādāi,be in a daze
释迦,shìjiā,sugar apple
充值卡,chōngzhíkǎ,recharge card
无法,wúfǎ,unable
一切,yīqiè,everything
帮助,bāngzhù,help
开心,kāixīn,happy
没事,méishì,be free; no problem
人民日报,Rénmín Rìbào,People’s Daily
日本,Rìběn,Japan
人民,rénmín,the people
热敏,rèmǐn,thermo-sensitive
小费,xiǎofèi,tip; gratuity
纯素,chúnsù,vegan
全素,quánsù,vegan
全素食,quánsùshí,vegan diet
流行,liúxíng,popular; prevalent
奇怪,qíguài,strange
大陆,dàlù,mainland
同,tóng,same
想起来,xiǎngqǐlái,remember; recall
小妹,xiǎomèi,little sister; young woman
告别,gàobié,say goodbye; farewell
