然后,然後,rán hòu...,then; after that,,
我不明白,我不明白,wǒ bù míng bai,I don't understand,,
杰克,傑克,jié kè,Jack,,
没有,沒有,méi yǒu,not have; there isn't,,
出去,出去,chū qù,go out; get out,,
你好吗,你好嗎,nǐ hǎo ma?,How are you?,,
救命,救命,jiù mìng!,Help!,,
我的天啊,我的天啊,wǒ de tiān a,Oh my God,,
他妈的,他媽的,tā mā de,damn it; f*ck,,
没,沒,méi,not; not have,,
我也不知道,我也不知道,wǒ yě bù zhī dào,I don't know either,,
该死的,該死的,gāi sǐ de,damn; damned,,
早安,早安,zǎo ān,good morning,,
靠,靠,kào,damn! (slang),,
快跑,快跑,kuài pǎo,run!,,
你好,你好,nǐ hǎo.,hello,,
见鬼,見鬼,jiàn guǐ,damn it; go to hell,,
知道,知道,zhī dào,to know,,
不用了,不用了,bú yòng le,no need; never mind,,
不会,不會,bú huì,won't; cannot,,
很高兴见到你,很高興見到你,hěn gāo xìng jiàn dào nǐ,nice to meet you,,
没错,沒錯,méi cuò,that's right; exactly,,
我得走了,我得走了,wǒ děi zǒu le,I have to go,,
非常感谢,非常感謝,fēi cháng gǎn xiè,thank you very much,,
给,給,gěi,to give; for,,
是呀,是呀,shì ya,yeah; yep,,
多谢,多謝,duō xiè,thanks a lot,,
我会的,我會的,wǒ huì de,I will,,
行,行,xíng,OK; all right,,
该死,該死,gāi sǐ!,damn it!,,
继续,繼續,jì xù,continue,,
算了,算了,suàn le,forget it; let it go,,
请进,請進,qǐng jìn,please come in,,
晚上好,晚上好,wǎn shang hǎo,good evening,,
真是的,真是的,zhēn shi de,honestly!; geez,,
请坐,請坐,qǐng zuò,please sit,,
祝你好运,祝你好運,zhù nǐ hǎo yùn,good luck,,
就是这样,就是這樣,jiù shì zhè yàng,that's it; just like that,,
不会吧,不會吧,bú huì ba,no way,,
我明白了,我明白了,wǒ míng bai le,I understand now,,
是啊,是啊,shì a...,yeah...,,
我要走了,我要走了,wǒ yào zǒu le,I'm leaving,,
你还好吧,你還好吧,nǐ hái hǎo ba?,Are you okay?,,
你在说什么,你在說什麼,nǐ zài shuō shén me?,What are you talking about?,,
没事了,沒事了,méi shì le,it's fine now; never mind,,
站住,站住,zhàn zhù,stop!,,
这边,這邊,zhè biān,this way; over here,,
开始,開始,kāi shǐ,to start; begin,,
我不能,我不能,wǒ bù néng,I can't,,
一,一,yī,one,,
