是的,是的,shì de,yes,,
谢谢,謝謝,xièxie,thank you,,
好,好,hǎo,good; okay,,
好的,好的,hǎo de,okay; alright,,
嗯,嗯,èn,uh-huh; mm,,
好吧,好吧,hǎo ba,alright; fine then,,
对,對,duì,right; correct,,
对不起,對不起,duìbuqǐ,sorry,,
是,是,shì,to be; yes,,
没有,沒有,méiyǒu,don’t have; there isn’t,,
你好,你好,nǐ hǎo,hello,,
什么,什麼,shénme,what,,
我不知道,我不知道,wǒ bù zhīdào,I don’t know,,
没错,沒錯,méi cuò,that’s right,,
嘿,嘿,hēi,hey,,
很好,很好,hěn hǎo,very good,,
喂,喂,wèi,hello (on the phone),,
我知道,我知道,wǒ zhīdào,I know,,
怎么了,怎麼了,zěnme le,what’s up; what’s wrong,,
为什么,為什麼,wèishénme,why,,
嗨,嗨,hāi,hi,,
再见,再見,zàijiàn,goodbye,,
当然,當然,dāngrán,of course,,
啊,啊,a,ah; oh,,
等等,等等,děngděng,wait a second; hold on,,
哦,哦,ò,oh,,
是吗,是嗎,shì ma,really?; is that so?,,
好了,好了,hǎo le,alright then; that’s enough,,
走吧,走吧,zǒu ba,let’s go,,
真的,真的,zhēn de,really,,
不,不,bù,no; not,,
快点,快點,kuài diǎn,hurry up,,
不是,不是,bú shì,no; isn’t; are not,,
谢谢你,謝謝你,xièxie nǐ,thank you,,
天啊,天啊,tiān a,oh my god,,
来吧,來吧,lái ba,come on,,
抱歉,抱歉,bàoqiàn,sorry; apologies,,
不要,不要,bú yào,don’t; do not,,
不知道,不知道,bù zhīdào,don’t know,,
我,我,wǒ,I; me,,
等一下,等一下,děng yíxià,wait a moment,,
爸爸,爸爸,bàba,dad,,
不行,不行,bù xíng,no way; not OK,,
呃,呃,è,uh; um,,
是啊,是啊,shì a,yeah; indeed,,
噢,噢,ō,oh,,
没事,沒事,méi shì,it’s okay; no problem,,
是的,是的,shì de,yes,,
太好了,太好了,tài hǎo le,great; awesome,,
该死,該死,gāisǐ,damn,,
