凉茶,liángchá,herbal tea
卫生,wèishēng,hygiene
江山如画,jiāngshān rúhuà,picturesque scenery
运动,yùndòng,exercise; sports
喷,pēn,spray
花束,huāshù,bouquet
寺,sì,temple
龙华,Lónghuá,Longhua
家乡,jiāxiāng,hometown
现金,xiànjīn,cash
现,xiàn,appear; now
湛江市,Zhànjiāng Shì,Zhanjiang City
淮海,Huái-Hǎi,Huai-Hai region
淮海地区,Huáihǎi dìqū,Huaihai region
淮海战役,Huáihǎi zhànyì,Huaihai Campaign
武昌起义,Wǔchāng Qǐyì,Wuchang Uprising
巴金,Bā Jīn,Ba Jin
宋庆龄,Sòng Qìnglíng,Song Qingling
送秋波,sòng qiūbō,cast amorous glances
师傅,shīfu,master; skilled worker
寒秋,hánqiū,late autumn
大力士,dàlìshì,strongman
山楂,shānzhā,hawthorn
草莓,cǎoméi,strawberry
兔,tù,rabbit
陈毅,Chén Yì,Chen Yi
外滩,wàitān,the Bund
梳子,shūzi,comb
钱包,qiánbāo,wallet
复兴,fùxīng,revive; rejuvenate
中国结,Zhōngguó jié,Chinese knot
词源,cíyuán,etymology
字,zì,character
格,gé,grammatical unit
田,tián,field
民主,mínzhǔ,democracy
先辈,xiānbèi,forebears
开封,Kāifēng,Kaifeng
藕粉,ǒufěn,lotus root starch
锅盔,guōkuī,round baked flatbread
豉,chǐ,fermented soybeans
柯,kē,branch; axe handle
寿,shòu,longevity
武林,wǔlín,martial arts circles
江湖,jiānghú,martial world
样板间,yàngbǎnjiān,showroom
春节,Chūn Jié,Spring Festival
练习,liànxí,practice
精制品,jīngzhìpǐn,refined products
词汇,cíhuì,vocabulary
