教,教,jiāo,teach,,
懿,懿,yì,virtuous,,
猴子,猴子,hóuzi,monkey,,
小龙,小龍,xiǎolóng,snake (zodiac),,
蛇,蛇,shé,snake,,
饮料,飲料,yǐnliào,beverage,,
艮,艮,gèn,Gen trigram,,
混血,混血,hùnxuè,mixed blood,,
喝,喝,hē,drink,,
啤酒,啤酒,píjiǔ,beer,,
很好,很好,hěn hǎo,very good,,
冒,冒,mào,emit; give off,,
工程师,工程師,gōngchéngshī,engineer,,
软件,軟件,ruǎnjiàn,software,,
忙,忙,máng,busy,,
笨蛋,笨蛋,bèndàn,idiot,,
抹茶,抹茶,mǒchá,matcha,,
欺负,欺負,qīfu,bully,,
定,定,dìng,decide; fix,,
捏,捏,niē,pinch,,
长城,長城,Chángchéng,Great Wall,,
花生,花生,huāshēng,peanut,,
毛豆,毛豆,máodòu,edamame,,
回,回,huí,return; turn back,,
还是,還是,háishi,still; yet,,
官二代,官二代,guān’èrdài,children of officials,,
高丽菜,高麗菜,gāolícài,cabbage,,
发呆,發呆,fādāi,be in a daze,,
释迦,釋迦,shìjiā,sugar apple,,
充值卡,充值卡,chōngzhíkǎ,recharge card,,
无法,無法,wúfǎ,unable,,
一切,一切,yīqiè,everything,,
帮助,幫助,bāngzhù,help,,
开心,開心,kāixīn,happy,,
没事,沒事,méishì,be free; no problem,,
人民日报,人民日報,Rénmín Rìbào,People’s Daily,,
日本,日本,Rìběn,Japan,,
人民,人民,rénmín,the people,,
热敏,熱敏,rèmǐn,thermo-sensitive,,
小费,小費,xiǎofèi,tip; gratuity,,
纯素,純素,chúnsù,vegan,,
全素,全素,quánsù,vegan,,
全素食,全素食,quánsùshí,vegan diet,,
流行,流行,liúxíng,popular; prevalent,,
奇怪,奇怪,qíguài,strange,,
大陆,大陸,dàlù,mainland,,
同,同,tóng,same,,
想起来,想起來,xiǎngqǐlái,remember; recall,,
小妹,小妹,xiǎomèi,little sister; young woman,,
告别,告別,gàobié,say goodbye; farewell,,
