右,右,yòu,right (direction),,
汤姆,湯姆,Tāngmǔ,Tom (name),,
老兄,老兄,lǎo xiōng,buddy; bro,,
没错,沒錯,méi cuò,that’s right; correct,,
我看看,我看看,wǒ kàn kan,let me see,,
谢天谢地,謝天謝地,xiè tiān xiè dì,thank goodness,,
你在这里做什么,你在這裡做什麼,nǐ zài zhèlǐ zuò shénme,what are you doing here?,,
快啊,快啊,kuài a,hurry up,,
真棒,真棒,zhēn bàng,awesome; great,,
你觉得呢,你覺得呢,nǐ juéde ne,what do you think?,,
出来,出來,chū lái,come out; come over,,
结束了,結束了,jiéshù le,it’s over; finished,,
所以呢,所以呢,suǒyǐ ne,so?; and then?,,
行,行,xíng,okay; fine,,
我知道了,我知道了,wǒ zhīdào le,got it; understood,,
妈妈,媽媽,māma,mom,,
成交,成交,chéngjiāo,deal,,
这个嘛,這個嘛,zhège ma,well...; let me think,,
师父,師父,shīfu,master (mentor),,
这儿,這兒,zhèr,here,,
我在想,我在想,wǒ zài xiǎng,I’m thinking,,
坐,坐,zuò,sit,,
坐吧,坐吧,zuò ba,have a seat; sit down,,
这样,這樣,zhèyàng,like this; this way,,
下一个,下一個,xià yí gè,next one,,
我不懂,我不懂,wǒ bù dǒng,I don’t understand,,
过来,過來,guò lái,come here; come over,,
不要动,不要動,bú yào dòng,don’t move,,
我靠,我靠,wǒ kào,damn; WTF,,
靠,靠,kào,damn,,
打扰一下,打擾一下,dǎrǎo yí xià,excuse me; sorry to bother you,,
老师,老師,lǎoshī,teacher,,
朋友,朋友,péngyǒu,friend,,
看看,看看,kàn kan,have a look,,
我不在乎,我不在乎,wǒ bù zàihu,I don’t care,,
妈,媽,mā,mom,,
是不是,是不是,shì bù shì,isn’t it?; right?,,
出什么事了,出什麼事了,chū shénme shì le,what happened?,,
正是,正是,zhèng shì,exactly; precisely,,
那又怎样,那又怎樣,nà yòu zěnyàng,so what?,,
什么啊,什麼啊,shénme a,what the…; huh?,,
去你妈的,去你媽的,qù nǐ mā de,f— you; screw you,,
是的长官,是的長官,shì de zhǎngguān,"yes, sir",,
有可能,有可能,yǒu kěnéng,possible; likely,,
滚开,滾開,gǔn kāi,get lost; piss off,,
站起来,站起來,zhàn qǐlái,stand up,,
你怎么知道的,你怎麼知道的,nǐ zěnme zhīdào de,how did you know?,,
山姆,山姆,Shānmǔ,Sam (name),,
没事,沒事,méishì,it’s fine; no problem,,
酷,酷,kù,cool,,
